name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Godrej Yummiez Chicken Lucknowi Seekh Kebab,26000,10,4,23400,400,FALSE,400
Prasuma Vegetable Momos,15000,0,5,15000,580,FALSE,10
Mother's Recipe Mixed Pickle,8500,9,2,7700,300,FALSE,300
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,2800,17,3,2300,65,FALSE,65
The Whole Truth Peanut Cocoa Protein Bar No Sugar,10000,26,6,7400,52,FALSE,52
Yoga Bar Breakfast Muesli - Chocolate & Cranberry ,32500,4,6,30900,400,FALSE,400
Sunfeast YiPPee! Magic Masala Noodles,7000,10,3,6300,405,FALSE,405
Veeba Sweet Onion Sauce,14100,14,4,12100,350,FALSE,350
Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy,4900,8,6,4500,200,FALSE,200
Mother's Recipe Tamarind Paste,5000,2,6,4900,200,FALSE,200
Yogabar No Added Sugar Protein Bar Brownie,12500,15,4,10600,60,FALSE,60
Bambino Popular Vermicelli ,4000,2,3,3900,400,FALSE,400
Ching's Secret Mix Veg Instant Soup,1000,0,3,1000,15,FALSE,15
Mother's Recipe Pickle - Red Stuffed Chilli,14500,11,3,12900,400,FALSE,400
Kellogg's No Added Sugar Muesli,33500,11,6,29800,500,FALSE,500
Veeba Salsa Dip,11900,6,6,11100,360,FALSE,360
Veeba Thousand Island Dressing,14900,8,6,13700,300,FALSE,300
Baggry's Crunchy Muesli Almond Raisins & Honey,13000,0,5,13000,200,FALSE,200
Knorr Chinese Hot And Sour Veg Soup,5500,3,1,5300,43,FALSE,43
Go Cheese Spread - Garlic,9900,5,6,9400,200,FALSE,200
The Whole Truth Peanut Butter With Dates - Creamy No Sugar,21500,9,6,19400,325,FALSE,325
Zorabian Chicken Smoked Ham,20500,5,1,19400,250,FALSE,250
Kissan Pineapple Jam,16500,9,1,14900,500,FALSE,500
Smith & Jones Masala Noodles,8900,0,5,8900,480,FALSE,480
Nestle Nestle Nan Pro Follow-Up Formula,65000,0,6,65000,400,FALSE,400
Sunfeast Yippee! Power Up Atta Noodles,9600,15,6,8100,280,FALSE,280
McCain Super Wedges,12000,7,6,11100,400,FALSE,400
"Kellogg's Crunchy Granola Honey, Almonds, Strawberries & Pumpkin Seeds",33000,10,1,29400,450,FALSE,450
Kellogg's Chocos,13000,10,6,11700,250,FALSE,250
Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodle,3200,0,3,3200,150,FALSE,150
