name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Sundrop Super Lite Advanced - Sunflower Oil,21500,0,4,21500,1000,FALSE,1
Pillsbury Atta/Godihittu - Chakki Fresh,10200,7,4,9400,2000,FALSE,2
Popular Essentials Green Moong Chilka/Chilka (Un-Polished),8500,7,5,7900,500,FALSE,500
Popular Essentials HMT Kolam Steam,7500,0,3,7500,1000,FALSE,1
Popular Essentials Black Urad Split,8000,10,4,7200,500,FALSE,500
Keya Oregano,10900,10,5,9800,9,FALSE,9
Popular Essentials Pink Rajma,10000,10,6,9000,500,FALSE,500
Everest Chicken Masala,7400,2,6,7200,100,FALSE,100
Popular Essentials HMT Kolam Steam,37000,10,6,33300,5000,FALSE,5
Everest Shahi Paneer Masala,4200,4,5,4000,50,FALSE,50
Godrej Yummiez Chicken Nuggets,32500,9,1,29300,500,FALSE,500
Flying Bird Vanilla Essence,3500,2,6,3400,20,FALSE,20
Everest Sabji Masala,3000,3,6,2900,50,FALSE,50
Popular Essentials Californian Almond,69500,32,6,47000,500,FALSE,500
Cornitos Cornitos Taco Shells - 4 Inches,11000,20,6,8800,80,FALSE,80
Everest Rajma Masala,3300,3,5,3200,50,FALSE,50
Popular Essentials White Til,4000,5,1,3800,100,FALSE,100
Amul Dark Compound Chocolate Slab,12500,2,6,12200,500,FALSE,500
Mothers Recipe Papad Chana Masala,7900,10,6,7100,200,FALSE,200
Ching's Schezwan Masala Instant Noodles,6000,0,1,6000,240,FALSE,240
Amul Milk Compound Chocolate Slab,11000,2,6,10700,500,FALSE,500
Eastern Chicken Masala,7000,7,3,6500,100,FALSE,100
Popular Essentials Methi Seeds,2500,0,5,2500,100,FALSE,100
Saffola Yummy Masala Noodles ,2000,0,2,2000,46,FALSE,46
Cadbury Hot Chocolate,17500,5,6,16600,200,FALSE,200
Ching's Chicken Chilli Masala,1000,0,6,1000,20,FALSE,20
Dabur Keora water - Authentic flavour for Biryani's and Desserts,6200,6,6,5800,250,FALSE,250
Popular Essentials Black Cardamom/Elaichi ,10000,10,6,9000,50,FALSE,50
Popular Essentials Idli Rice,6000,10,4,5400,1000,FALSE,1
Everest Chole Masala,3300,3,1,3200,50,FALSE,50
Dabur Hommade Tamarind Paste,4800,6,6,4500,200,FALSE,200
"""Maggi Magic Cubes, Vegetarian Masala (Free 2 Cubes Inside)""",3500,2,6,3400,48,FALSE,48
Popular Essentials Cooking Soda,3000,10,6,2700,200,FALSE,200
RRO Primio Refined Groundnut Oil Pet Bottle,25500,6,2,23900,1000,FALSE,1
Everest Pani Puri Masala,3100,3,6,3000,50,FALSE,50
Nissin Cup Noodles Tangy Tomato,5000,10,2,4500,70,FALSE,70
Ching's Veg Manchurian Masala,1000,0,2,1000,20,FALSE,20
Ceres Foods Fish Mustard Instant Liquid Masala,22000,50,6,11000,200,FALSE,200
Everest Garam Masala,15800,10,6,14200,200,FALSE,200
24 Mantra Organic Jowar Flour,7000,7,6,6500,500,FALSE,500
Maggi Coconut Milkpowder,10000,0,6,10000,100,FALSE,100
On1y Pepper Grinder,15900,9,1,14400,50,FALSE,50
Popular Essentials Rice Flour,6000,0,3,6000,1000,FALSE,1
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,2800,10,1,2500,65,FALSE,65
24 Mantra Organic Brown Sona Masoori Rice,9500,0,6,9500,1000,FALSE,1
Happilo Premium Afghani Anjeer,36500,29,2,25600,200,FALSE,200
Popular Essentials Chiroti Sooji,3500,2,6,3400,500,FALSE,500
RRO Til Dil Premium Til Oil Bottle,33000,10,5,29400,1000,FALSE,1
Popular Essentials Red Rajma,9000,10,6,8100,500,FALSE,500
Cornitos Peanut - Premium Salted ,12000,10,6,10800,150,FALSE,150
Popular Essentials Black Pepper,10000,10,5,9000,100,FALSE,100
24 Mantra Organic Tur Dal - Split,13000,7,6,12000,500,FALSE,500
Sugarfree Gold Low Calorie Sweetner,6500,6,3,6100,110,FALSE,100
Ching's Secret Paneer Chilli Masala,1000,0,2,1000,20,FALSE,20
Dabur Honey ,22000,7,3,20400,500,FALSE,500
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,2800,17,3,2300,65,FALSE,65
Everest Tea Masala,5500,9,2,5000,50,FALSE,50
Ching's Paneer Chilli Masala,4400,0,4,4400,60,FALSE,60
Sunfeast YiPPee! Magic Masala Noodles,7000,10,3,6300,405,FALSE,405
Everest Meat Masala Powder,7400,9,3,6700,100,FALSE,100
Pillsbury Atta With Multigrains Wheat Grains,29500,16,6,24500,5000,FALSE,5
Mother's Recipe Tamarind Paste,5000,2,6,4900,200,FALSE,200
Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy,4900,8,6,4500,200,FALSE,200
Popular Essentials Cloves (Lavang),7500,17,6,6200,50,FALSE,50
Sunfeast Yippee! Power Up Atta Noodles,9600,15,6,8100,280,FALSE,280
Suhana Paneer Tikka Masala Mix,4000,5,6,3800,50,FALSE,50
24 Mantra Turmeric Powder,3500,2,6,3400,100,FALSE,100
24 Mantra Super Grain Quinoa,19000,0,4,19000,500,FALSE,500
Everest Powder - Egg Curry Masala,4000,2,6,3900,50,FALSE,50
Popular Essentials Pe Shah Jeera ,6000,15,6,5100,50,FALSE,50
24 Mantra Organic Sattu Atta,9500,0,6,9500,500,FALSE,500
Smith & Jones Pasta Masala,4600,0,6,4600,54,FALSE,54
Weikfield Vanilla Custard Powder,14200,9,3,12800,500,FALSE,500
Sugarfree Natura Low Calorie Sweetner ,30000,10,3,27000,42,FALSE,42
Pillsbury Vanilla Custard Powder,3700,2,6,3600,100,FALSE,100
24 Mantra Organic Rajma,14500,0,6,14500,500,FALSE,500
Popular Essentials Broken Wheat/Daliya,3500,2,6,3400,500,FALSE,500
Zorabian Chicken Smoked Ham,20500,5,1,19400,250,FALSE,250
Smith & Jones Peri Peri Masala,9900,0,6,9900,75,FALSE,75
Saffola Veggie Twist Masala Oats,19500,12,2,17100,500,FALSE,500
Popular Essentials Urad Dal Split (Un-Polished),8500,9,5,7700,500,FALSE,500
Weikfield Baking Powder,2200,0,6,2200,50,FALSE,50
Popular Essentials Bajra Whole,6500,13,6,5600,1000,FALSE,1
Weikfield Veg Jelly Crystals - Strawberry,4500,2,6,4400,90,FALSE,90
Weikfield Veg Jelly Crystals - Raspberry,4500,2,6,4400,90,FALSE,90
Popular Essentials Masoor Dal Split (Un-Polished),7000,10,4,6300,500,FALSE,500
Popular Essentials Ajwain Whole,5000,12,2,4400,100,FALSE,100
Popular Essentials Pista Salted (With Shell),47000,21,5,37100,250,FALSE,250
The Bake Shop Bread Crumbs,5000,6,3,4700,400,FALSE,400
Popular Essentials Horse Gram,4000,10,4,3600,500,FALSE,500
Hershey's Chocolate Syrup,9500,0,4,9500,200,FALSE,200
Godrej Yummiez Chilli Chicken Sausages ,16000,10,3,14400,250,FALSE,250
Everest Kasuri Methi,2500,0,6,2500,25,FALSE,25
Satyam Makhana,20800,0,6,20800,100,FALSE,100
Everest Tandoori Chicken Masala,3900,2,5,3800,50,FALSE,50
Weikfield Falooda Mix - Kesar Pista,4900,2,3,4800,200,FALSE,200
Weikfield Cocoa Powder,7000,7,6,6500,50,FALSE,50
Pantai Coconut Cream,15000,4,4,14300,400,FALSE,400
Popular Essentials Coriander Seeds,1500,0,5,1500,50,FALSE,50
Ching's Singapore Curry Instant Noodles,6000,0,4,6000,240,FALSE,240
Eastern Fish Masala,4800,2,5,4700,100,FALSE,100
Pillsbury Atta/Godihittu - Chakki Fresh,27500,0,6,27500,5000,FALSE,5
"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",21500,9,4,19400,1000,FALSE,1
Everest Dry Ginger Powder,7500,9,4,6800,100,FALSE,100
Pillsbury Cooker Cake Mix - Choco,10000,11,6,8900,159,FALSE,159
Hersheys Chocolate Almond Syrup,20000,0,2,20000,450,FALSE,450
Satyam Nighties Spices  Chilli Pandi,5600,7,5,5200,100,FALSE,100
Popular Essentials Popular Essential Pista Salted (With Shell),19000,10,6,17100,100,FALSE,100
Godrej Yummiez Chicken Punjabi Tikka ,29500,9,6,26600,360,FALSE,360
Popular Essentials Rozana Sona Masuri Raw Rice,35000,10,5,31200,5000,FALSE,5
24 Mantra Mustard Oil (Cold Pressed) ,35000,10,6,31200,1000,FALSE,1
24 Mantra Organic Black Pepper,17000,7,6,15700,100,FALSE,100
Popular Essentials Green Moong Whole,9000,16,3,7500,500,FALSE,500
24 Mantra Organic Masoor Dal - Split,9500,7,6,8800,500,FALSE,500
Praakritik Organic Natural Rock Salt,6000,6,3,5600,500,FALSE,500
24 Mantra Sunflower Oil (Cold Pressed) Pet Bottle,39000,11,5,34700,1000,FALSE,1
"Ching's Secret Instant Noodles, Hot Garlic",6000,0,4,6000,240,FALSE,240
Saffola Everyday Peppy Tomato Masala Oats,19500,12,6,17100,500,FALSE,500
Dabur 100% Pure Honey - Worlds No.1,43000,10,6,38700,1000,FALSE,1
Popular Essentials Star Anise,7000,10,5,6300,25,FALSE,25
Ching's Secret Chicken 65 Masala - Chicken,1000,0,5,1000,20,FALSE,20
Cadbury Cocoa Powder,22300,5,6,21100,150,FALSE,150
Praakritik Natural Desi Gir Cow A2 Ghee,145000,10,6,130500,540,FALSE,540
Praakritik Organic Poha,12000,6,5,11200,500,FALSE,500
Praakritik Organic Natural Wild Forest Honey,16000,6,4,15000,200,FALSE,200
Popular Essentials Dry Dates (Kharak),14000,15,6,11800,250,FALSE,250
Popular Essentials Kashmiri Red Rajma,9500,6,4,8900,500,FALSE,500
Dabur Hommade - Garlic Paste,5000,6,6,4700,200,FALSE,200
Dabur 100% Pure Honey,33000,10,1,29700,400,FALSE,400
Ching's Schezwan Fried Rice(Miracle Masala),4400,0,5,4400,60,FALSE,60
"""Maggi Magic Cubes, Vegetarian Masala""",3500,2,1,3400,40,FALSE,40
Everest Tandoori Chicken Masala,7400,9,3,6700,100,FALSE,100
Popular Essentials Red Poha,4500,4,6,4300,500,FALSE,500
Everest Kitchen King Masala,14200,9,6,12800,200,FALSE,200
Pillsbury Oven Cake Mix - Rich Chocolate,16500,10,5,14700,285,FALSE,285
Eastern Super Garam Masala,7400,6,2,6900,200,FALSE,200
Maggi Magic Cubes Extra Chicken,4000,2,6,3900,48,FALSE,48
Satyam Nighties Spices  Chilli Kashmiri,10200,6,6,9500,100,FALSE,100
Eastern Cumin Powder,4900,2,6,4800,100,FALSE,100
Popular Essentials Urad Gola White(Un-Polished),9000,10,6,8100,500,FALSE,500
24 Mantra Organic Chana Dal,9500,6,5,8900,500,FALSE,500
Delight Nuts Cashew Roasted & Salted,42500,20,6,34000,200,FALSE,200
Popular Essentials Mace/Javitri,9000,10,3,8100,20,FALSE,20
Dlicia Whip Topping Bottle,23500,27,5,17100,1000,FALSE,1
Mother's Recipe Paste Ginger & Garlic,7600,10,4,6800,300,FALSE,300
24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle,41000,10,6,36900,1000,FALSE,1
Satyam Pulses Masur Dal,8700,6,6,8100,500,FALSE,500
Delight Nuts Pista Roasted & Salted,42500,20,6,34000,200,FALSE,200
"Top Ramen Noodles, Atta",8000,0,1,8000,280,FALSE,280
Hershey's Cocoa Powder,9500,0,5,9500,70,FALSE,70
Praakritik Organic Singhara Atta,24000,6,4,22500,500,FALSE,500
Gits Veg Biryani Ready to Eat,11000,10,6,9900,265,FALSE,265
Delight Nuts Cranberries Sliced ,29900,20,6,23900,200,FALSE,200
Borges Durum Wheat Pasta Superior Quality,25000,40,6,14900,500,FALSE,500
Ceres Foods Laal Maas Instant Liquid Masala,22000,50,5,11000,200,FALSE,200
Popular Essentials Sattu Atta,9000,12,3,7900,500,FALSE,500
Popular Essentials Mustard Seeds Rai Yellow,2500,0,5,2500,100,FALSE,100
Praakritik Organic Extra Virgin Coconut Oil,15000,10,5,13400,100,FALSE,100
Praakritik Organic Garlic Powder,11000,1,5,10800,100,FALSE,100
Sugarfree Gold Low Calorie Sweetner ,12500,5,6,11800,100,FALSE,100
Aashirvaad Breakfast Instant Mix - Rice Idli,7500,30,6,5200,200,FALSE,200
Kitchens Of India Mutter Paneer,13000,4,6,12400,285,FALSE,285
Ching's Secret Veg Manchurian Masala,4400,0,6,4400,60,FALSE,60
Popular Essentials Jowa Flour,5000,2,5,4900,500,FALSE,500
Everest Shahi Biryani Masala,24500,0,6,24500,200,FALSE,200
Popular Essentials Black Til,5000,6,4,4700,100,FALSE,100
Popular Essentials Pancharatna Dal,8000,10,6,7200,500,FALSE,500
Saffola 100% Pure Honey,47500,8,2,43700,1000,FALSE,750
Popular Essentials Tamarind,15000,14,6,12800,500,FALSE,500
Gits Rice Dosa Instant Breakfast Mix,6000,5,5,5700,200,FALSE,200
Popular Essentials Poppy Seeds (Gasagase),28000,7,6,26000,100,FALSE,100
Hershey's Hot Chocolate Powder,21000,0,4,21000,250,FALSE,250
Borges Farfalle Durum Wheat Pasta ,25000,0,5,25000,500,FALSE,500
Satyam Chilli  Bedgi,8200,10,5,7300,100,FALSE,100
Aashirvaad Instant Mix - Rice Dosa,7500,30,6,5200,200,FALSE,200
Hershey's Cocoa - Natural Unsweetened,27000,10,4,24300,225,FALSE,225
Weikfield Veg Jelly Crystals - Mango,4500,2,6,4400,90,FALSE,90
Praakritik Orrganic Cold Pressed Sesame Oil,13000,10,5,11700,100,FALSE,100
Amulya Dairy Whitener ,38000,2,4,37200,1000,FALSE,1
ITC Master Chef Hyderabadi Biryani,7500,30,5,5200,80,FALSE,80
Flying Bird Butter Scotch Essence,5000,2,6,4900,20,FALSE,20
Dabur Hommade - Ginger Paste,5000,6,6,4700,200,FALSE,200
Popular Essentials Green Peas (Un-Polished),12000,10,5,10800,500,FALSE,500
Quaker Oats Pouch,27600,10,6,24800,1500,FALSE,1
24 Mantra Organic Urad White Whole,14500,15,4,12200,500,FALSE,500
Popular Essentials Guntur Chilli Stemless,4000,2,2,3900,100,FALSE,100
Popular Essentials Moth Whole,9000,10,6,8100,500,FALSE,500
Keya Pizza Seasoning,10900,17,6,9000,45,FALSE,45
Keya Piri Piri | Exotic Spices Mix,10900,20,6,8700,80,FALSE,80
24 Mantra Organic Moong Dal,13500,7,6,12500,500,FALSE,500
Betty Crocker French Vanilla Cake Mix,31000,10,6,27600,520,FALSE,520
Delight Nuts Dried Cranberries ,34000,20,6,27200,200,FALSE,200
Everest Kesari Milk Masala,20500,0,2,20500,50,FALSE,50
Tong Garden Salted Cocktail Nuts,29500,9,5,26600,160,FALSE,160
MTR Uttapam Mix,16500,5,6,15600,500,FALSE,500
Gits Khaman Dhokla Instant Snack Mix,6500,6,6,6100,180,FALSE,180
Happilo Premium 100% Natural Whole Cashews,33500,29,6,23500,200,FALSE,200
Everest Dry Mango Powder,8000,0,5,8000,100,FALSE,100
Dabur Hommade - Ginger Garlic Past Tub,11000,5,6,10400,400,FALSE,400
Everest Chicken Masala,14700,10,6,13200,200,FALSE,200
Gits Medu Vada Instant Snack Mix,9000,4,6,8600,200,FALSE,200
Weikfield Drinking Chocolate Powder,6500,10,6,5800,100,FALSE,100
Popular Essentials Regular White Lobia,7000,10,6,6300,500,FALSE,500
Puro Healthy Salt Crystal,13500,7,6,12500,1000,FALSE,1
Popular Essentials Premium Jeera Rice,14000,0,5,14000,1000,FALSE,1
Smith & Jones Shahi Paneer Masala Mix,4400,0,6,4400,60,FALSE,60
Betty Crocker Mug Treats - Chocolate Mix - Pack of 4,20000,11,6,17800,264,FALSE,264
Smith & Jones Pasta Masala,6000,10,5,5400,108,FALSE,108
Catch Black Pepper Sprinkler,10000,0,1,10000,50,FALSE,50
Weikfield Cooker Cake Mix - Chocolate,9500,6,6,8900,150,FALSE,150
ITC Master Chef Butter Chicken,7500,30,6,5200,80,FALSE,80
Masala Oats Masala & Coriander ,19500,9,5,17600,500,FALSE,500
Smith & Jones Mutter Paneer Masala,4200,0,6,4200,60,FALSE,60
Kitchens of India Dal Bukhara Gravy Mix,11000,30,6,7700,285,FALSE,285
Popular Essentials Fried Gram (Bengal Gram),7000,10,6,6300,500,FALSE,500
Gits Jalebi with Maker Dessert Mix,7500,16,6,6300,100,FALSE,100
Popular Essentials Soya Beans ,8000,6,6,7500,500,FALSE,500
24 Mantra Organic Roasted Bengal Gram Dal,10500,7,6,9700,500,FALSE,500
Keya Italian Seasoning,10900,10,6,9800,35,FALSE,35
MTR Idli/Dosa/Chilly Chutney Powder,11500,0,3,11500,200,FALSE,200
Delight Nuts Trail Mix ,39900,25,6,29900,200,FALSE,200
Praakritik Organic Chilka Moong Dal,12000,10,6,10800,500,FALSE,500
Smith & Jones Garlic & Herbs Masala Mix,9900,0,6,9900,75,FALSE,75
Eastern Tamarind,6300,0,6,6300,200,FALSE,200
Tong Garden Wasabi Coated Greenpeas Tin,20000,11,6,17800,180,FALSE,180
Flying Bird Pineapple Artifical Food Essence,5000,2,6,4900,20,FALSE,20
